Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes
2025-06-30,,Bench press,flat,,,3,195,
2025-06-30,,Bench press,flat,,,3,185,
2025-06-30,,Bench press,flat,,,3,185,
2025-06-30,,Bench press,flat,,,3,185,
2025-06-30,,Lat pulldown,wide,,,10,9,
2025-06-30,,Bench press,Incline,,,5,135,
2025-06-30,,Lat pulldown,wide,,,5,12,
2025-06-30,,Bench press,Incline,,,3,145,
2025-06-30,,Lat pulldown,wide,,,10,11,
2025-06-30,,Bench press,Incline,,,4,145,
2025-06-30,,Lat pulldown,wide,,,10,11,
2025-06-30,,Bench press,Incline,,,5,135,
2025-06-30,,Lat pulldown,wide,,,5,11,
2025-06-30,,lever seated row,,,,10,9,
2025-06-30,,seated chest fly,,,,5,100,
2025-06-30,,seated chest fly,,,,5,175,
2025-06-30,,dips,,,,5,0,
2025-06-30,,lever seated row,,,,5,15,
2025-06-30,,lever seated row,,,,3,16,
2025-06-30,,dips,,,,3,0,
2025-06-30,,lever seated row,,,,5,14,
2025-06-30,,seated chest fly,,,,6,175,
2025-06-30,,dips,,,,4,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2025-06-24,,Bench press,,,,10,55,
2025-06-24,,Bench press,,,,5,135,
2025-06-24,,Bench press,,,,2,205,
2025-06-24,,Bench press,,,,2,205,
2025-06-24,,Bench press,,,,4,195,
2025-06-24,,Bench press,,,,3,195,
2025-06-24,,Bench press,,,,5,185,
2025-06-24,,Lat pulldown,wide,,,10,9,
2025-06-24,,Bench press,Incline,,,5,135,
2025-06-24,,Lat pulldown,wide,,,5,12,
2025-06-24,,Bench press,Incline,,,1,185,
2025-06-24,,Bench press,Incline,,,4,155,
2025-06-24,,Lat pulldown,wide,,,5,13,
2025-06-24,,Bench press,Incline,,,5,155,
2025-06-24,,Lat pulldown,wide,,,5,10,
2025-06-24,,Bench press,Incline,,,6,145,
2025-06-24,,lever seated row,,,,6,10,
2025-06-24,,seated chest fly,,,,6,100,
2025-06-24,,lever seated row,,,,6,15,
2025-06-24,,seated chest fly,,,,5,205,
2025-06-24,,dip,,,,4,0,
2025-06-24,,lever seated row,,,,2,20,
2025-06-24,,lever seated row,,,,4,18,
2025-06-24,,seated chest fly,,,,6,175,
2025-06-24,,dip,,,,3,0,
2025-06-24,,lever seated row,,,,7,14,
2025-06-24,,seated chest fly,,,,5,185,
2025-06-24,,dip,,,,2,0,
2025-06-24,,dip,,,,1,0,
