Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes,Weight_Unit
2025-06-30,,bench press,incline,,,4.0,145.0,,kg
2025-06-30,,lat pulldown,wide,,,10.0,11.0,,level
2025-06-30,,bench press,incline,,,5.0,135.0,,kg
2025-06-30,,lat pulldown,wide,,,5.0,11.0,,level
2025-06-30,,lever seated row,,,,10.0,9.0,,level
2025-06-30,,seated chest fly,,,,5.0,100.0,,kg
2025-06-30,,seated chest fly,,,,5.0,175.0,,kg
2025-06-30,,dips,,,,5.0,0.0,,kg
2025-06-30,,lever seated row,,,,5.0,15.0,,level
2025-06-30,,lever seated row,,,,3.0,16.0,,level
2025-06-30,,dips,,,,3.0,0.0,,kg
2025-06-30,,lever seated row,,,,5.0,14.0,,level
2025-06-30,,seated chest fly,,,,6.0,175.0,,kg
2025-06-30,,dips,,,,4.0,0.0,,kg
2025-06-24,,bench press,flat,,,10.0,55.0,,kg
2025-06-24,,bench press,flat,,,5.0,135.0,,kg
2025-06-24,,bench press,flat,,,2.0,205.0,,kg
2025-06-24,,bench press,flat,,,2.0,205.0,,kg
2025-06-24,,bench press,flat,,,4.0,195.0,,kg
2025-06-24,,bench press,flat,,,3.0,195.0,,kg
2025-06-24,,bench press,flat,,,5.0,185.0,,kg
2025-06-24,,lat pulldown,wide,,,10.0,9.0,,level
2025-06-24,,bench press,incline,,,5.0,135.0,,kg
2025-06-24,,lat pulldown,wide,,,5.0,12.0,,level
2025-06-24,,bench press,incline,,,1.0,185.0,,kg
2025-06-24,,bench press,incline,,,4.0,155.0,,kg
2025-06-24,,lat pulldown,wide,,,5.0,13.0,,level
2025-06-24,,bench press,incline,,,5.0,155.0,,kg
2025-06-24,,lat pulldown,wide,,,5.0,10.0,,level
2025-06-24,,bench press,incline,,,6.0,145.0,,kg
2025-06-24,,lever seated row,,,,6.0,10.0,,level
2025-06-24,,seated chest fly,,,,6.0,100.0,,kg
2025-06-24,,lever seated row,,,,6.0,15.0,,level
2025-06-24,,seated chest fly,,,,5.0,205.0,,kg
2025-06-24,,dips,,,,4.0,0.0,,kg
2025-06-24,,lever seated row,,,,2.0,20.0,,level
2025-06-24,,lever seated row,,,,4.0,18.0,,level
2025-06-24,,seated chest fly,,,,6.0,175.0,,kg
2025-06-24,,dips,,,,3.0,0.0,,kg
2025-06-24,,lever seated row,,,,7.0,14.0,,level
2025-06-24,,seated chest fly,,,,5.0,185.0,,kg
2025-06-24,,dips,,,,2.0,0.0,,kg
2025-06-24,,dips,,,,1.0,0.0,,kg
2025-06-24,,,,,,,,,kg
2025-06-24,,,,,,,,,kg
2025-06-24,,,,,,,,,kg
2025-06-24,,,,,,,,,kg
2025-06-24,,,,,,,,,kg
2025-06-24,,preacher curl,,,,5.0,15.0,,kg
